Date, Volume
2019-01-01,979039368
2019-01-02,1097663564
2019-01-03,889059787
2019-01-04,923185106
2019-01-05,640874439
2019-01-06,1135382157
2019-01-07,983979089
2019-01-08,1299810701
2019-01-09,1300895254
2019-01-10,1288240535
2019-01-11,858668929
2019-01-12,528143513
2019-01-13,826889890
2019-01-14,894912891
2019-01-15,910891876
2019-01-16,878153114
2019-01-17,872234719
2019-01-18,624158867
2019-01-19,754614452
2019-01-20,1099003213
2019-01-21,730724684
2019-01-22,1160910545
2019-01-23,901105130
2019-01-24,700970415
2019-01-25,955722082
2019-01-26,660037436
2019-01-27,1470991649
2019-01-28,1160378784
2019-01-29,931328731
2019-01-30,784636623
2019-01-31,812648443
2019-02-01,815178010
2019-02-02,792318701
2019-02-03,640604280
2019-02-04,577801393
2019-02-05,733626271
2019-02-06,565769631
2019-02-07,399742271
2019-02-08,1806050088
2019-02-09,685700608
2019-02-10,840361093
2019-02-11,690445697
2019-02-12,871754785
2019-02-13,588680668
2019-02-14,538640042
2019-02-15,798157015
2019-02-16,501589690
2019-02-17,1866776741
2019-02-18,2612050941
2019-02-19,1715687689
2019-02-20,1463931902
2019-02-21,937313901
2019-02-22,980269428
2019-02-23,2039677088
2019-02-24,2250055964
2019-02-25,1216807265
2019-02-26,759192528
2019-02-27,1135697881
2019-02-28,1084579179
2019-03-01,624377163
2019-03-02,474808478
2019-03-03,954113028
2019-03-04,866229028
2019-03-05,1567752521
2019-03-06,1013320175
2019-03-07,970204527
2019-03-08,1241349775
2019-03-09,1084877095
2019-03-10,639251052
2019-03-11,1033574817
2019-03-12,713596327
2019-03-13,651640070
2019-03-14,828263545
2019-03-15,1521071285
2019-03-16,753967651
2019-03-17,949964332
2019-03-18,637217464
2019-03-19,952576767
2019-03-20,1036547130
2019-03-21,1310755595
2019-03-22,675626411
2019-03-23,518803500
2019-03-24,440250562
2019-03-25,1150117406
2019-03-26,942732831
2019-03-27,1086307375
2019-03-28,783188072
2019-03-29,1727775381
2019-03-30,550672499
2019-03-31,837212330
2019-04-01,2822552501
2019-04-02,4343362456
2019-04-03,4494385876
2019-04-04,2800959534
2019-04-05,1716775946
2019-04-06,2508321731
2019-04-07,2609670060
2019-04-08,2371873347
2019-04-09,1785413688
2019-04-10,2554472186
2019-04-11,2395705161
2019-04-12,1194599148
2019-04-13,907389431
2019-04-14,1013477968
2019-04-15,1494967129
2019-04-16,1674444830
2019-04-17,1286354233
2019-04-18,1278870144
2019-04-19,1307567286
2019-04-20,958211321
2019-04-21,1309442640
2019-04-22,2516688773
2019-04-23,2177241162
2019-04-24,2246495144
2019-04-25,3482715204
2019-04-26,1670963667
2019-04-27,840502879
2019-04-28,1108592508
2019-04-29,1245434384
2019-04-30,1599780222
2019-05-01,1079286596
2019-05-02,2443798793
2019-05-03,4056898301
2019-05-04,3070596437
2019-05-05,2446373521
2019-05-06,2873763705
2019-05-07,2911430810
2019-05-08,2635282204
2019-05-09,2947869660
2019-05-10,5746336381
2019-05-11,7174871578
2019-05-12,7073578740
2019-05-13,8011962631
2019-05-14,6121457758
2019-05-15,5666367875
2019-05-16,5498073864
2019-05-17,4097325599
2019-05-18,3638732320
2019-05-19,4675070283
2019-05-20,4361980277
2019-05-21,3101168903
2019-05-22,3645677293
2019-05-23,3135980890
2019-05-24,2883471527
2019-05-25,1768825583
2019-05-26,4470662139
2019-05-27,3050564028
2019-05-28,3236399565
2019-05-29,2764523880
2019-05-30,4772348718
2019-05-31,2653154578
2019-06-01,1404174300
2019-06-02,2867912919
2019-06-03,4704029679
2019-06-04,3974263254
2019-06-05,2955053871
2019-06-06,3174058633
2019-06-07,2582445828
2019-06-08,1660667052
2019-06-09,2913955463
2019-06-10,2529147987
2019-06-11,2639147081
2019-06-12,2463613180
2019-06-13,2301320266
2019-06-14,3388441448
2019-06-15,3933392950
2019-06-16,4989453734
2019-06-17,4539899575
2019-06-18,3681423430
2019-06-19,2267007959
2019-06-20,4288517995
2019-06-21,6593093134
2019-06-22,6685488213
2019-06-23,4989317719
2019-06-24,4526622114
2019-06-25,8567939759
2019-06-26,12637756895
2019-06-27,10877152270
2019-06-28,7822407616
2019-06-29,4882704544
2019-06-30,6366042556
